collected_at_utc,collected_at_germany,system_name,domain,city_uid,city_name,place_uid,place_number,name,address,lat,lng,is_station,is_floating_bike,active_place,maintenance,terminal_type,place_type,booked_bikes,bikes,bikes_available_to_rent,bike_racks,free_racks,special_racks,free_special_racks,bike_types_json,bike_count_from_list
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473045,42647,Bebelstraße / Stresemannstraße,Ecke Bebelstraße / Stresemannstraße,49.99775,8.31775,True,False,1,False,,19,0,5,5,6,1,0,0,"{""188"": 1, ""225"": 1, ""295"": 3}",5
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473046,42617,Menzelstraße,"Rubensallee, Haltestelle Menzelstr",49.964404,8.187531,True,False,1,False,,19,0,5,5,12,7,0,0,"{""188"": 2, ""191"": 3}",5
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473047,42648,Südring,"Südring, Haltestell - direkt neben Toilette",49.972987,8.238677,True,False,1,False,,19,0,1,1,10,8,0,0,"{""188"": 1}",1
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473048,42618,Binger Schlag,Goßlerweg / Ecke Binger Straße,49.998082,8.256077,True,False,1,False,,19,0,6,6,19,12,0,0,"{""188"": 5, ""348"": 1}",6
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473049,42649,LBBW / Rheinallee,"Rheinallee, Vor Rheinkontor - ÜBERGANGSSTATION",50.015821,8.254477,True,False,1,False,,14,0,12,12,15,2,0,0,"{""188"": 7, ""191"": 5}",12
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473050,42619,Turmstraße / Waggonfabrik,Haltestelle Turmstr. Kreuzung Am Schützenweg/Turmstr.,50.014188,8.233843,True,False,1,False,,14,0,13,13,11,0,0,0,"{""188"": 7, ""191"": 5, ""295"": 1}",13
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473051,42650,Wilhelm-Theodor-Römheld-Str.,Wilhelm-Theodor-Römheld-Str. ; rechte Seite,49.98062,8.29015,True,False,1,False,,19,0,7,7,8,1,0,0,"{""188"": 2, ""191"": 4, ""225"": 1}",7
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473052,42620,Hauptfriedhof,Untere Zahlbacher Str. / nahe Hst. Hauptfriedhof,49.995866,8.252596,True,False,1,False,,19,0,1,1,12,11,0,0,"{""188"": 1}",1
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473053,42651,Albert-Stohr-Straße,Sprinterpfad / Bezirkssportanlage,49.978148,8.249376,True,False,1,False,,19,0,0,0,12,12,0,0,{},0
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473054,42621,Ortsverwaltung Mombach,Hauptstraße,50.022634,8.224686,True,False,1,False,,19,0,8,8,16,7,0,0,"{""188"": 2, ""191"": 6}",8
